pair_id,treated,control,ps_t,ps_c,dist
76,124,2017,0.44651095032511784,0.4457304966047566,0.003158491660372187
78,181,705,0.0008682789703457467,0.0008639854550786072,0.004961420406420558
81,138,2131,0.34551119803881625,0.3465808410100762,0.004726700183970922
83,158,440,0.6983439136228266,0.4939517293555779,0.8636183754214759
84,153,2059,0.5047707885071965,0.4834334011741638,0.08537439374682856
86,90,1985,0.4932979473464809,0.4542909324701741,0.15653836082770317
88,37,335,0.46774006267714363,0.45293518373058556,0.05959900250271885
90,151,532,0.30434309261750636,0.305783475766687,0.006794280008477149
92,88,204,0.3671990038093105,0.3671990038093105,0.0
93,165,1959,0.2528776597154756,0.25838660958554804,0.0289520137390884
97,38,339,0.20896656581090836,0.20898675929034607,0.0001221586068353986
101,9,227,0.04231124777462379,0.04231124777462379,0.0
105,176,406,0.10526861584206547,0.10483405402067006,0.004622239276558915
106,57,229,0.25059794150837134,0.23936614516173185,0.06073193241125918
108,25,1921,0.5327482313544835,0.44564198119165793,0.3494755440350037
110,132,412,0.5010250908379201,0.42275357322684537,0.31558018714337144
113,123,969,0.020776052639594953,0.020733464882446605,0.0020954425507326846
114,164,2042,0.21159350546220534,0.21119667007301823,0.0023804339094180005
117,22,2342,0.22575848067212756,0.2246413136146031,0.00640266781833887
121,161,327,0.3408294599620417,0.33872296937924323,0.009390234232270811
122,18,1919,0.5387063535968637,0.3974517015134079,0.5712302112343443
124,133,556,0.574410270637359,0.39161345125620456,0.740403283974242
127,155,2084,0.31484493071900593,0.3061829225179359,0.04046068232100286
134,136,1918,0.10318198862486427,0.10319913800304926,0.00018531399805876703
136,171,2258,0.0573892959201316,0.0575111680451713,0.0022506525754124596
137,134,2213,0.5001681951994681,0.38193335408539214,0.48202294611165
138,67,188,0.468265919735088,0.3718716880535087,0.39708841766192804
141,180,627,0.0024902818502571494,0.00248474202373375,0.002232609813627384
142,21,1928,0.11460531700275946,0.11485069263605427,0.0024159359338726816
144,128,1915,0.49739475857095666,0.36937506668955045,0.5244776566245652
149,125,2106,0.4913274517758063,0.35136343033844925,0.578357800476113
151,51,2082,0.4932979473464809,0.35004537920690604,0.5920299290009606
154,162,549,0.13503372816970652,0.13399412216190715,0.00892983281605364
156,182,446,0.003980457455310984,0.003970739310895106,0.002454206377521473
162,58,650,0.17501243905724728,0.17546437145621294,0.0031269141330814154
165,172,966,0.33713623422573796,0.3385108345299459,0.006144877682457417
166,177,283,0.35113492253010636,0.33502539619077437,0.07148825383471091
167,115,1924,0.2626401980956605,0.26584481050848313,0.016483226883318602
168,31,493,0.49472068001341934,0.3325790376137413,0.6754253711451498
173,184,2472,0.00023470861220317835,0.00023451430201228488,0.000828415638739699
184,95,1998,0.2972906431908881,0.30102538917640753,0.017813307909900544
